Image type,Feature Class,Feature Name,Segmentation_segment_IPH,Segmentation_segment_IPH_lipid,Segmentation_segment_Fibrous,Segmentation_segment_Calcium
log-sigma-1-0-mm-3D,glrlm,LowGrayLevelRunEmphasis,0.101752287,0.045646473,0.026081606,0.071004211
log-sigma-1-0-mm-3D,glrlm,RunEntropy,2.563686433,2.697324742,2.798743055,3.105766766
log-sigma-1-0-mm-3D,glrlm,RunLengthNonUniformity,217.308105,474.2508146,833.166721,22.89419276
log-sigma-1-0-mm-3D,glrlm,RunLengthNonUniformityNormalized,0.827264887,0.775194705,0.734532236,0.968091026
log-sigma-1-0-mm-3D,glrlm,RunPercentage,0.898771368,0.859305924,0.831701981,0.983974359
log-sigma-1-0-mm-3D,glrlm,RunVariance,0.158677919,0.288521321,0.395987876,0.015954487
log-sigma-1-0-mm-3D,glrlm,ShortRunEmphasis,0.919860746,0.890569835,0.872520416,0.987230161
log-sigma-1-0-mm-3D,glrlm,ShortRunHighGrayLevelEmphasis,13.74081962,24.56405977,38.59830372,70.82148829
log-sigma-1-0-mm-3D,glrlm,ShortRunLowGrayLevelEmphasis,0.093586598,0.040005844,0.023212857,0.070707818
log-sigma-1-0-mm-3D,glszm,GrayLevelNonUniformity,20.73170732,31.11570248,53.03265306,2.368421053
log-sigma-1-0-mm-3D,glszm,GrayLevelNonUniformityNormalized,0.252825699,0.257154566,0.216459808,0.12465374
log-sigma-1-0-mm-3D,glszm,GrayLevelVariance,1.238548483,1.402090021,1.976609746,12.15512465
log-sigma-1-0-mm-3D,glszm,HighGrayLevelZoneEmphasis,16.65853659,30.88429752,40.87346939,75.31578947
log-sigma-1-0-mm-3D,glszm,LargeAreaEmphasis,34.7804878,250.0661157,328.8979592,1.789473684
log-sigma-1-0-mm-3D,glszm,LargeAreaHighGrayLevelEmphasis,410.3902439,5459.578512,16065.57143,119.5263158
log-sigma-1-0-mm-3D,glszm,LargeAreaLowGrayLevelEmphasis,4.250099829,12.82535328,6.820008996,0.100979733
log-sigma-1-0-mm-3D,glszm,LowGrayLevelZoneEmphasis,0.093317986,0.047534529,0.034342171,0.08252838
log-sigma-1-0-mm-3D,glszm,SizeZoneNonUniformity,20.80487805,26.81818182,58.42857143,11.63157895
log-sigma-1-0-mm-3D,glszm,SizeZoneNonUniformityNormalized,0.253718025,0.221637866,0.238483965,0.612188366
log-sigma-1-0-mm-3D,glszm,SmallAreaEmphasis,0.502710941,0.46748605,0.494590802,0.802631579
log-sigma-1-0-mm-3D,glszm,SmallAreaHighGrayLevelEmphasis,8.486267824,14.66849802,20.14737406,64.26315789
