"Image type","Feature Class","Feature Name","Segmentation_segment_IPH","Segmentation_segment_IPH_lipid","Segmentation_segment_Calcium","Segmentation_segment_Fibrous"
"log-sigma-1-0-mm-3D","ngtdm","Coarseness","0.00914361740020112","0.014012522901640309","","0.008759230795296639"
"log-sigma-1-0-mm-3D","ngtdm","Complexity","4.721529260010376","10.142840101924525","","11.752852885475933"
"log-sigma-1-0-mm-3D","ngtdm","Contrast","0.04144372525771693","0.025106723786448435","","0.034202824904938055"
"log-sigma-1-0-mm-3D","ngtdm","Strength","0.06646347484582765","0.25683511500944706","","0.15088970814791108"
"log-sigma-3-0-mm-3D","firstorder","10Percentile","-15.066039466857909","-31.007071113586424","","-56.35965576171875"
"log-sigma-3-0-mm-3D","firstorder","90Percentile","59.6692440032959","35.861500930786136","","31.04622802734376"
"log-sigma-3-0-mm-3D","firstorder","Energy","1040872.130322506","481714.6907185174","","1195094.6068617273"
"log-sigma-3-0-mm-3D","firstorder","Entropy","2.324495894931099","2.269383783294585","","2.467560250074118"
"log-sigma-3-0-mm-3D","firstorder","InterquartileRange","44.93454205989838","37.89061403274536","","44.271188497543335"
"log-sigma-3-0-mm-3D","firstorder","Kurtosis","2.5080101261239416","3.5911755308734907","","3.0453955777133466"
